a	eɪ
siap	s i a p
siapa	s i a p a
sih	s i h
sisanya	s i s a ny a
sre	ɛs ɑr i
standup	ˈstænˌdʌp
static	ˈstætɪk
storage	ˈstɔrəʤ
sudah	s u d a h
sulit	s u l i t
tadi	t a d i
tahu	t a h u
tahun	t a h u n
tanya	t a ny a
tapi	t a p i
tau	t au
team	t e a m
telah	t e l a h
telat	t e l a t
teman	t e m a n
tentang	t e n t a ng
terakhir	t e r a kh i r
terima	t e r i m a
terimakasih	t e r i m a k a s i h
terus	t e r u s
testing	ˈtɛstɪŋ
tetap	t e t a p
tidak	t i d a k
tim	t i m
tinggal	t i ng g a l
tolong	t o l o ng
tutup	t u t u p
ulang	u l a ng
unit	u n i t
untuk	u n t u k
wajib	w a j i b
ya	y a
yang	y a n g	
